username,password,place,latitude,longitude
Venus,kegJGKuFHsA,Casal da Serra,11.1605965,16.18741
Janeczka,wOPHV3k,Katrineholm,12.1605965,17.18741
Dari,V0RRmyu,MontÃ©limar,13.1605965,18.18741
Aylmer,gyT8fxU8Sy8x,Fayzabad,14.1605965,19.18741
Carlotta,Ub3RmHZ,Gangba,15.1605965,20.18741
Stephanie,B2KWkz84n,Emiliano Zapata,16.1605965,21.18741
Boycie,LsC0MYJA,Casigua El Cubo,17.1605965,22.18741
Dinnie,lZIX11T,Campo Maior,18.1605965,23.18741
Lila,vEX2ECl,SkÃ¡la OropoÃº,19.1605965,24.18741
Dulciana,MTpSbTexP8W,Biyong,20.1605965,25.18741
